Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Agricultural Economics (AGEC),AGEC 6403,Advanced Production Economics,"Formulating and solving applied economic optimization problems in agricultural production economics. Expected profit maximization; analyzing data from agronomic experiments; credit scoring; risk models such as stochastic dominance and expected utility.

",Graduate,FALSE,2020-2021,"['agri', 'agro']"
Agricultural Economics (AGEC),AGEC 6700,Agricultural Policy and Rural Resource Development Seminar,"Frontier issues in agricultural policy, natural resources and rural development.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,"['agri', ' rural ']"
Agricultural Education (AGED),AGED 2011,Topics and Issues in Agricultural Education,"An exploration into the world of teaching secondary agricultural education with a focus on the role and purpose of the comprehensive agricultural education program. Observation of teachers in an experiential manner by actively interviewing agricultural education teachers, school principals, and appropriate state staff; assisting with FFA activities; and observing students’ SAE opportunities.
",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 3101,Laboratory and Clinical Experiences in Agricultural Education,"Preprofessional clinical experiences in agricultural education teaching and related careers. Requirement for admission to professional education, student teaching, and internships. Previously offered as AGED 3510.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 3103,Foundations and Philosophies of Teaching Agricultural Education,"Roles and responsibilities of the agricultural education teacher; types of program offerings; steps of the teaching-learning process; place of agricultural education in relation to other educational programs in school systems.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Education (AGED),AGED 3201,Planning and Conducting Agricultural Youth Organization Events,"A service-learning course focused on the processes and procedures required to host competitive events for agricultural youth organizations. Emphasis on roles of event hosts such as planning, coordination, volunteer management, and facilitation.
",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 3203,Advising Agricultural Student Organizations and Supervising Experiential Learning,"Determining resources and trends of local communities with respect to agricultural production and agribusiness. Emphasis on agricultural education program policies, FFA chapter advisement, planning and managing the instructional program, identification and completion of records and reports required of a teacher of agricultural education in Oklahoma. May not be used for degree credit with AGED 5323.",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Education (AGED),AGED 3302,Org Ag Rural Groups,No Description,Undergraduate,FALSE,2020-2021,"[' ag ', ' rural ']"
Agricultural Education (AGED),AGED 4103,Methods of Teaching Agricultural Education,"Facets of the teaching and learning process including teaching methods, basic teaching skills, proper classroom management techniques, and motivational techniques and ideas. Preparation for student teaching.



",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Education (AGED),AGED 4113,Laboratory Instruction in Agricultural Education,"Methods of teaching agricultural education in a laboratory setting. A study of laboratory safety instruction, methods of teaching, and application of technical agricultural skills to the secondary program.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Education (AGED),AGED 4200,Student Teaching in Agricultural Education,"Full-time directed experience in an approved agricultural education department. Applications of methods and skills in agricultural education as related to selecting, adapting, utilizing, and evaluating curriculum materials and experiences to meet educational goals and facilitate learning for individual students. Roles, responsibilities, and organization and operation of school systems.

Offered for variable credit, 1-9 credit hours, maximum of 9 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 4203,Professional Development in Agricultural Education,"Professional preparation and development for careers as agricultural educators. Professional correspondences, interviewing, networking, and other employability skills. Reflection and evaluation of instruction, project supervision and advising of youth leadership development organizations. May not be used for degree credit with AGED 5333.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 4300,Agricultural Education Internship,"Supervised internship experience with approved enterprises in agriculture, natural resources, and/or youth development. Regular written reports and final presentation required. Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 4713,International Programs in Agricultural Education and Extension (I),"World hunger and its root causes. The function of international agencies, organizations, foundation and churches in improving the quality of life for people of the developing nations. Roles of agricultural education and extension at all levels for enhancing the effectiveness of indigenous programs of rural development and adult education.
",Undergraduate,FALSE,2020-2021,"['agri', ' hunger ', ' root ', ' rural ']"
Agricultural Education (AGED),AGED 4990,Seminar and Problems in Agricultural Education,"Small group and/or individual study and research in problems relating to programs of occupational education in agriculture.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 5102,Creative Component in Agricultural Education,"Independent research or project management under the direction and supervision of a major adviser.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 5123,Adult Programs in Agricultural and Extension Education,"Determining adult needs, priorities, participation in educational activities, and adoption of new ideas and practices. Designing, organizing, conducting, and evaluating adult education programs in agricultural and extension education.
",Graduate,FALSE,2020-2021,['agri']
Agricultural Education (AGED),AGED 5311,Laboratory and Clinical Experiences in Agricultural Education for Graduate Students,"Preprofessional clinical experiences in agricultural education teaching and related careers. Study of research literature related to school-based agricultural education. Requirement for admission to professional education and student teaching. For graduate students pursuing teacher certification.



",Graduate,FALSE,2020-2021,['agri']
