Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
CHEG 3113,Chemical Engineering (CHEG), Introduction to Energy Systems,"
This course introduces fundamental physical and engineering principles associated with various energy systems. Basic energy concepts will be introduced describing the magnitudes and patterns of human energy needs. Historical evolution and present status of the conventional fossil and nuclear-fuelled energy will be investigated along with others such as hydropower, biofuels, and the developing renewable energy systems.Prerequisites: MATH 2024 and PHYS 2523 and (CHEM 1034 or CHEM 1043).
",,,,2016-2017,,,,['biofuel']
CHEG 4011,Chemical Engineering (CHEG), Chemical Engineering Laboratory II,"
Chemical engineering laboratory directed to separation processes such as gas absorption, fractional distillation, extraction, and drying. Study of reaction rates and equilibria in simple chemical systems. Emphasis is placed upon experimental data required for the scale-up to commercial scale equipment.Prerequisites: CHEG 3023 (may be taken concurrently) and CHEG 3043 (may be taken concurrently) and (SPCH 1003 (may be taken concurrently) or COMM 1003 (may be taken concurrently)) and (ENGL 1133 (may be taken concurrently) or ENGL 1143 (may be taken concurrently)) and PHYS 2511 (may be taken concurrently) and PHYS 2521 (may be taken concurrently) and CHEM 1021 (may be taken concurrently).
",,,,2016-2017,,,,[' distill']
CHEG 4033,Chemical Engineering (CHEG), Process Dynamics and Control,"
Dynamic response and control of chemical process equipment such as reactors, heat exchangers, distillation columns. Use is made of fundamental techniques of servomechanism theory such as block diagrams, transfer functions, and frequency response; stability analysis and control loop design. Unsteady state modeling and computer simulation of simple control systems.Prerequisites: CHEG 3063 (may be taken concurrently) and (MATH 4173 (may be taken concurrently) or MATH 3685 (may be taken concurrently)).
",,,,2016-2017,,,,[' distill']
CHEG 4153,Chemical Engineering (CHEG), Bioengineering,"
Design and analysis of biochemical systems with applications in biomedical engineering and metabolic processes, enzyme catalyzed reactions and product separation, biomass production, and wastewater treatment. Emphasis is placed upon the application of biochemical systems structure, reaction kinetics, transport processes, and control in the design and use of biochemical reactors and separation units.
",,,,2016-2017,,,,[' metaboli']
CHEG 5033,Chemical Engineering (CHEG), Environmental Processes,"
Fundamentals of environmental engineering, chemistry, physical-chemistry and transport properties. Energy and mass balances. Reactions and reactors. Biological processes. Bioremediation.
",,,,2016-2017,,,,['bioremed']
CHEG 5043,Chemical Engineering (CHEG), Remediation Technologies,"
Fundamentals of environmental remediation. Physical-chemical processes. Bioremediation. Stabilization and solidification. Thermal methods. Site characterization. Risk assessment. Containment. Remedial Alternatives Applications to real contaminated sites.
",,,,2016-2017,,,,['bioremed']
CHEM 4033,Chemistry (CHEM), Biochemistry,"
A study of the chemistry of biological molecules: proteins, lipids, carbohydrates and nucleic acids. Enzyme catalysis, Bioenergetics, Metabolism of carbohydrates, fats and proteins. Interrelationship of the metabolic pathways.Prerequisites: CHEM 2033 and CHEM 2043.
",,,,2016-2017,,,,"['bioenergetic', ' carbohydrate', ' lipid', ' metaboli', ' protein']"
CHEM 4042,Chemistry (CHEM), Biochemistry Laboratory,"
Experiments in basic methodology for the isolation, purification and characterization of carbohydrates, lipids, proteins, nucleic acids and enzymes from natural products.Prerequisites: CHEM 4033 (may be taken concurrently).Co-requisite: CHEM 4033.
",,,,2016-2017,,,,"[' carbohydrate', ' lipid', ' protein']"
CVEG 2081,Civil Engineering (CVEG), Surveying and Geospatial Concepts,"
Introduction to plane surveying: leveling, horizontal distance and measurements, vertical and horizontal angles, azimuths and bearings, traverse calculations, earthwork and volume computations, stadia, topographical surveys, construction boundaries, coordinate systems; trigonometry applications in civil engineering and pertinent computer software.  The Global Positioning System (GPS) and Geographic Information Systems (GIS) are introduced.Prerequisites: MATH 1124 and CVEG 2001.
",,,,2016-2017,,,,['geospatial']
CVEG 3023,Civil Engineering (CVEG), Geotechnical Engineering,"
Physical and mechanical properties of soil; moisture and its movement in soil; moisture density relationships; soil classification; settlement; consolidation; permeability; testing of soil physical and mechanical properties; and laboratory sessions.Prerequisites: CVEG 2063 and CVEG 2081 and CVEG 3031.
",,,,2016-2017,,,,[' soil']
CVEG 4021,Civil Engineering (CVEG), Geotechnical Engineering Design Laboratory,"
Site investigation methods and the development of soil exploration reports, design of retaining structures, slope stability; design of shallow and deep foundations.Prerequisites: CVEG 3023.
",,,,2016-2017,,,,[' soil']
CVEG 4123,Civil Engineering (CVEG), Hydrology,"
Hydrologic cycle; precipitation; runoff; infiltration; hydrological analysis; unit hydrograph; statistical methods; surface and groundwater; flood forecasting; flood routing; flood control; and computer applications.Prerequisites: CVEG 3063.
",,,,2016-2017,,,,['hydrologic cycle']
CVEG 4233,Civil Engineering (CVEG), Water Quality Modeling,"
Water quality overview; movement of contaminants in the environment; contaminant interactions with soil, air, and water; and mathematical models to describe the movement of contaminants in various bodies of water including rivers, lakes, oceans and groundwater.Prerequisites: CVEG 3043.
",,,,2016-2017,,,,"[' contaminant', ' soil']"
CVEG 5143,Civil Engineering (CVEG), Hazardous Waste Management,"
Environmental legislation, regulations concerning the identification, storage, transport, and disposal of hazardous wastes. Treatment processes; control mechanisms; landfill technology and disposal practices.
",,,,2016-2017,,,,['land']
CPSY 7773,Clinical Psychology (CPSY), Learning Theory & Clinical App,"
The study of theoretical and procedural issues in basic learning mechanisms, in animals and humans, including classical and instrumental conditioning and social cognitive frameworks. Concept applications to relevant biological mechanisms and clinical interventions (e.g., behavior modification, systematic desensitization) are emphasized with particular attention to procedures implemented with children and adolescents. Coverage of parental and school consultation techniques is provided regarding behavior modification of children and adolescents. A review of research regarding applications of current theoretical models is presented.
",,,,2016-2017,,,,[' animal']
COMM 3513,Communications (COMM), Communication Law & Ethics,"
Examines the idea of free speech as it has developed in the United States with attention to mass media law, including topics such as liberal, invasion of privacy and obscenity. In addition to studying media law, students will examine and discuss ethical issues that involve the media. The objective is to develop  an understanding of the First Amendment and the role it plays in American society.Prerequisites: COMM 1713.
",,,,2016-2017,,,,[' amendment']
COMM 3713,Communications (COMM), Communication Technology,"
A study of electronic process and applications in media. Emphasis on current and emerging technologies in telecommunications, radio, TV, satellite, fiber optics, and computer-mediated communication.Prerequisites: COMM 1713 COMM 2513 or COMM 2523 or COMM 2533 or COMM 2543.
",,,,2016-2017,,,,[' fiber']
CODE 5603,Community Development (CODE), Land Development and Planning in Declining Communities,"
This course will explore techniques used to identify and acquire vacant or unmanaged properties in depressed neighborhoods.  The course examines challenges, social and other influences and changes throughout the world, with a special emphasis upon less industralized area.
",,,,2016-2017,,,,['land']
CODE 5613,Community Development (CODE), Land Development and Use Control Strategies,"
This course will introduce students to the basic principles of land and real estate development.  The course will provide an overview of the development process, the land development team, site analysis reading development drawings and environmental issues.
",,,,2016-2017,,,,['land']
CODE 5743,Community Development (CODE), Global Community Development in the United States,"
This course will explore the role of immigrants, non-U.S. citizens, and foreign investors in developing rural and urban America.  The course will examine the role of immigration on shaping the social and economic form of American cities and suburbs, and the role of histroric preservations in economic development.
",,,,2016-2017,,,,[' rural ']
CPET 3231,Computer Engineering Tech (CPET), Microprocessor Assembly Language Laboratory,"
Exploring the Intel processor registers, their functionalities and responsibilities in computations, tracing individual instruction executions in debug mode, dedicated memory segments and address spaces in real and protected modes, microprocessor programming in solving engineering technology problems and program analysis at microprocessor level.Prerequisites: CPET 2111 and CPET 2113 and CPET 3233 (may be taken concurrently).
",,,,2016-2017,,,,['crop']
